Cygnus version: 0.27.0
Operative system: Windows
Record datetime: 2023-05-26 13:02:43.394618
Device ID: STEEG_DG081015
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,T7,T8,O1,O2,Fz,Pz,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,2979182,-10798.71,28615.78,375000.0,375000.0,302147.71,238022.56,375000.0,375000.0,,,,,
0.001,2979183,-10796.77,28611.04,375000.0,375000.0,302116.75,237966.26,375000.0,375000.0,,,,,
0.002,2979184,-10793.76,28608.01,375000.0,375000.0,302096.7,237938.22,375000.0,375000.0,,,,,
0.003,2979185,-10789.14,28607.81,375000.0,375000.0,302093.63,237954.18,375000.0,375000.0,,,,,
0.004,2979186,-10783.2,28610.58,375000.0,375000.0,302106.39,238010.87,375000.0,375000.0,,,,,
0.005,2979187,-10776.94,28615.47,375000.0,375000.0,302127.73,238088.46,375000.0,375000.0,,,,,
0.006,2979188,-10771.71,28620.9,375000.0,375000.0,302148.26,238160.3,375000.0,375000.0,,,,,
0.007,2979189,-10768.73,28625.08,375000.0,375000.0,302160.97,238204.58,375000.0,375000.0,,,,,
0.008,2979190,-10768.72,28626.52,375000.0,375000.0,302163.95,238212.37,375000.0,375000.0,,,,,
0.009,2979191,-10771.82,28624.51,375000.0,375000.0,302160.1,238188.6,375000.0,375000.0,,,,,
0.010,2979192,-10777.61,28619.2,375000.0,375000.0,302154.24,238146.65,375000.0,375000.0,,,,,
0.011,2979193,-10785.34,28611.6,375000.0,375000.0,302149.72,238100.44,375000.0,375000.0,,,,,
0.012,2979194,-10794.02,28603.22,375000.0,375000.0,302146.43,238058.74,375000.0,375000.0,,,,,
0.013,2979195,-10802.43,28595.76,375000.0,375000.0,302141.55,238024.08,375000.0,375000.0,,,,,
0.014,2979196,-10809.18,28590.68,375000.0,375000.0,302132.46,237995.97,375000.0,375000.0,,,,,
0.015,2979197,-10812.85,28588.89,375000.0,375000.0,302119.76,237975.08,375000.0,375000.0,,,,,
0.016,2979198,-10812.34,28590.63,375000.0,375000.0,302108.53,237965.18,375000.0,375000.0,,,,,
0.017,2979199,-10807.28,28595.43,375000.0,375000.0,302106.59,237971.34,375000.0,375000.0,,,,,
0.018,2979200,-10798.41,28602.24,375000.0,375000.0,302120.59,237995.56,375000.0,375000.0,,,,,
0.019,2979201,-10787.53,28609.78,375000.0,375000.0,302151.91,238033.25,375000.0,375000.0,,,,,
0.020,2979202,-10777.08,28616.73,375000.0,375000.0,302194.76,238073.15,375000.0,375000.0,,,,,
0.021,2979203,-10769.44,28622.11,375000.0,375000.0,302237.74,238101.58,375000.0,375000.0,,,,,
0.022,2979204,-10766.1,28625.33,375000.0,375000.0,302268.33,238108.75,375000.0,375000.0,,,,,
0.023,2979205,-10767.25,28626.28,375000.0,375000.0,302278.14,238093.78,375000.0,375000.0,,,,,
0.024,2979206,-10771.76,28625.2,375000.0,375000.0,302266.42,238065.17,375000.0,375000.0,,,,,
0.025,2979207,-10777.74,28622.48,375000.0,375000.0,302239.94,238036.48,375000.0,375000.0,,,,,
0.026,2979208,-10783.33,28618.58,375000.0,375000.0,302209.49,238019.47,375000.0,375000.0,,,,,
0.027,2979209,-10787.34,28613.94,375000.0,375000.0,302184.7,238018.38,375000.0,375000.0,,,,,
0.028,2979210,-10789.61,28608.96,375000.0,375000.0,302169.95,238028.66,375000.0,375000.0,,,,,
0.029,2979211,-10790.85,28604.02,375000.0,375000.0,302163.11,238040.46,375000.0,375000.0,,,,,
0.030,2979212,-10792.15,28599.48,375000.0,375000.0,302157.77,238044.99,375000.0,375000.0,,,,,
0.031,2979213,-10794.46,28595.63,375000.0,375000.0,302147.53,238039.71,375000.0,375000.0,,,,,
0.032,2979214,-10798.17,28592.63,375000.0,375000.0,302129.91,238029.75,375000.0,375000.0,,,,,
0.033,2979215,-10802.99,28590.43,375000.0,375000.0,302108.06,238024.55,375000.0,375000.0,,,,,
0.034,2979216,-10808.15,28588.86,375000.0,375000.0,302089.3,238032.05,375000.0,375000.0,,,,,
0.035,2979217,-10812.66,28587.69,375000.0,375000.0,302081.43,238053.58,375000.0,375000.0,,,,,
